#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eire_gaelic;Druidic;Druidique;Druidisch;;Druídica;;;;;;;;;x
eire_gaelic_adj;Druidic;Druidique;Druidisch;;Druídica;;;;;;;;;x
celtic_group;Celtic;Celtique;Keltisch;;Céltica;;;;;;;;;x
celtic_group_adj;Celtic;Celtique;Keltisch;;Céltica;;;;;;;;;x
GOD_LUGH;Lugh;Lugh;Lugh;;Lugh;;;;;;;;;x
GOD_DANU;Danu;Danu;Danu;;Danu;;;;;;;;;x
GOD_DAGDA;Dagda;Dagda;Dagda;;Dagda;;;;;;;;;x
GOD_BRIGID;Brigid;Brigid;Brigid;;Brigid;;;;;;;;;x
GOD_CERNUNNOS;Cernunnos;Cernunnos;Cernunnos;;Cernunnos;;;;;;;;;x
great_gathering;Great Gathering;Grande Assemblée;Große Versammlung;;Gran Asamblea;;;;;;;;;x
sacred_oaths;Sacred Oaths;Serments Sacrés;Heilige Eide;;Juramentos Sagrados;;;;;;;;;x
druid;Druid;Druide;Druide;;Druida;;;;;;;;;x
title_high_druid;High Druid;Grand Druide;Hoher Druide;;Sumo Druida;;;;;;;;;x
title_high_druid_female;High Druidess;Grande Druidesse;Hohe Druidin;;Suma Druida;;;;;;;;;x
High_Druid;High Druid;Grand Druide;Hoher Druide;;Sumo Druida;;;;;;;;;x
